step,train_loss,val_loss,lr,sec_per_step
50,3.56843,,1.666667e-05,1.532
100,3.40930,,3.333333e-05,1.508
150,3.27717,,5.000000e-05,1.493
200,3.20242,,6.666667e-05,1.480
250,3.17016,,8.333333e-05,1.476
300,3.16594,,1.000000e-04,1.475
350,3.16301,,9.991541e-05,1.474
400,3.14846,,9.966192e-05,1.471
450,3.11595,,9.924039e-05,1.471
500,3.09541,2.72562,9.865224e-05,1.494
550,3.10399,,9.789948e-05,1.492
600,3.09050,,9.698463e-05,1.491
650,3.07200,,9.591081e-05,1.489
700,3.06129,,9.468163e-05,1.486
750,2.97482,,9.330127e-05,1.490
800,2.73886,,9.177439e-05,1.488
850,2.53481,,9.010616e-05,1.486
900,2.45098,,8.830222e-05,1.485
950,2.40758,,8.636868e-05,1.486
1000,2.38275,2.16243,8.431208e-05,1.496
1050,2.36746,,8.213938e-05,1.495
1100,2.36390,,7.985793e-05,1.496
1150,2.36888,,7.747545e-05,1.494
1200,2.32900,,7.500000e-05,1.493
1250,2.34130,,7.243996e-05,1.492
1300,2.32050,,6.980399e-05,1.491
1350,2.35195,,6.710101e-05,1.492
1400,2.30903,,6.434016e-05,1.492
1450,2.30342,,6.153079e-05,1.491
1500,2.28719,2.13168,5.868241e-05,1.498
1550,2.34853,,5.580465e-05,1.496
1600,2.35434,,5.290724e-05,1.495
1650,2.28669,,5.000000e-05,1.494
1700,2.31086,,4.709276e-05,1.492
1750,2.30411,,4.419535e-05,1.492
1800,2.31345,,4.131759e-05,1.492
1850,2.30957,,3.846921e-05,1.493
1900,2.31748,,3.565984e-05,1.492
1950,2.31554,,3.289899e-05,1.492
2000,2.35560,2.11431,3.019601e-05,1.498
2050,2.34445,,2.756004e-05,1.497
2100,2.31342,,2.500000e-05,1.498
2150,2.28835,,2.252455e-05,1.499
2200,2.26209,,2.014207e-05,1.498
2250,2.29594,,1.786062e-05,1.496
2300,2.22896,,1.568792e-05,1.496
2350,2.27388,,1.363132e-05,1.495
2400,2.26345,,1.169778e-05,1.495
2450,2.28681,,9.893840e-06,1.494
2500,2.29251,2.10709,8.225609e-06,1.498
2550,2.30740,,6.698730e-06,1.498
2600,2.32318,,5.318368e-06,1.498
2650,2.28536,,4.089195e-06,1.497
2700,2.29465,,3.015369e-06,1.496
2750,2.27885,,2.100524e-06,1.496
2800,2.33676,,1.347756e-06,1.496
2850,2.30123,,7.596123e-07,1.495
2900,2.30561,,3.380821e-07,1.494
2950,2.31449,,8.459209e-08,1.494
3000,2.32143,2.10486,0.000000e+00,1.498